IKN;Yuklenici Firma;Ihale Adi;Parti No;Parti Son Teslim Tarihi;Parti Tutari;Ambar teslimi gerceklesti;Testler basladi;Test sonuclari geldi;Muayene - Kabul  Evragi imzada;Kabul Yapildi;Fatura Kesildi;Odeme Emri Hazirlandi;Aciklama;SonGuncelleme;Parti Miktari;Sozlesme Tarihi;Malzeme Detayi;Heyet Baskanina Haber Verildi;Testler Basladi Detay;Test Sonuclari Geldi Detay;Ihale Turu;Ihale Usulu;Yak. Maliyet;Ihale Tarihi;Ise Baslama Tarihi;Isin Suresi;Cari No;Proje No;Kart No
2025/1003344;Çalışkan Döküm Ticaret Limited Şirketi;Muhtelif Çaplarda Kolay Tamir Parçası Temini;1;2025-10-26;2100000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:07);1.250;2025-09-26;Kolay Tamir Parçası 100mm 1.250 Adet;0.0;;;;;;;2025-09-27;30 Gün;;;
2025/1003344;Çalışkan Döküm Ticaret Limited Şirketi;Muhtelif Çaplarda Kolay Tamir Parçası Temini;2;2025-11-25;2100000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:07);1.250;2025-09-26;Kolay Tamir Parçası 100mm 1.250 Adet;0.0;;;;;;;2025-09-27;60 Gün;;;
2025/1003344;Çalışkan Döküm Ticaret Limited Şirketi;Muhtelif Çaplarda Kolay Tamir Parçası Temini;3;2025-12-25;2530000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Düzenleme: Halil (25.03.2026 13:07);1.000;2025-09-26;Kolay Tamir Parçası 200mm 1.000 Adet;0.0;;;;;;;2025-09-27;90 Gün;;;
2025/1003344;Çalışkan Döküm Ticaret Limited Şirketi;Muhtelif Çaplarda Kolay Tamir Parçası Temini;4;2026-01-24;3120000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;Sonuçlar uygun.;Düzenleme: Halil (26.03.2026 08:26);1.500;2025-09-26;Kolay Tamir Parçası 150mm 1.500 Adet;0.0;;;;;;;2025-09-27;120 Gün;;;
2025/1003344;Çalışkan Döküm Ticaret Limited Şirketi;Muhtelif Çaplarda Kolay Tamir Parçası Temini;5;2026-02-23;1500000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Muayene Kabul Evrakı imzadan geldi. Fatura kesildi.;Düzenleme: Serdar (07.04.2026 08:52);500;2025-09-26;Kolay Tamir Parçası 250mm 500 Adet;0.0;;;;;;;2025-09-27;150 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;1;2025-10-04;1629000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:14);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;30 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;2;2025-11-03;1629000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:14);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;60 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;3;2026-01-02;1629000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.01.2026 tarihli kabul yapildi;Düzenleme: Halil (26.03.2026 09:42);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;120 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;4;2026-02-01;1629000.0;1.0;1.0;1.0;1.0;1.0;;1.0;;Düzenleme: Halil (02.04.2026 11:55);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;150 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;5;2026-03-03;1629000.0;1.0;1.0;1.0;1.0;1.0;;1.0;03/04/2026 tarihli kabul raporu imzada;Düzenleme: Bekir (07.04.2026 18:03);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;180 Gün;;;
2025/924784;İpek Hırdavat Demir Çelik Elektronik Taah. Tic. ve San. Ltd. Şti.;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 1.Kısım;6;2026-04-02;1629000.0;1.0;1.0;1.0;1.0;1.0;;1.0;04/05 Taihinde Fatura Kestirilecek;Düzenleme: Halil (07.05.2026 09:28);100.000;2025-09-04;Ø32mm PE 100 Boru;0.0;;;;;;;2025-09-05;210 Gün;;;
2025/924784;Turanlar Yapı Malzemeleri İnşaat Nakliyat Turizm Ticaret Limited Şirketi;Muhtelif Çaplarda Polietilen Boru (PE100) Temini 2.Kısım;1;2025-12-03;2535000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 13:17);100.000;2025-09-04;Ø40mm PE 100 Boru;0.0;;;;;;;2025-09-05;90 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;1;2025-05-15;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;29 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;2;2025-06-14;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;59 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;3;2025-07-14;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;89 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;4;2025-08-13;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;119 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;5;2025-09-12;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;149 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;6;2025-10-12;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;179 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;7;2025-11-11;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;209 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;8;2025-12-11;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;239 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;9;2026-01-10;9082500.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;269 Gün;;;
2025/85907;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;Özel Kilit Sistemli Küresel Grafitli Dökme Demir Muayene Bacası Kapama Takımı Temini;10;2026-02-09;9082500.0;1.0;1.0;1.0;1.0;1.0;;1.0;Teknolab Uygun. İSTON Uygun;Toplu Düzenleme: Halil (14.05.2026 16:23);2.500;2025-04-16;;0.0;;;;;137257916,68;;2025-04-17;299 Gün;;;
2025/2214999;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;7.500 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;1;2026-02-04;5854260.0;1.0;1.0;1.0;1.0;1.0;;1.0;Kabul evrakları Bekir ağabeye 9 Martta teslim edildi;Düzenleme: Halil (26.03.2026 08:27);1.500;2026-01-15;;0.0;;;;;;;2026-01-16;20 Gün;;;
2025/2214999;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;7.500 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;2;2026-02-24;5854260.0;1.0;1.0;1.0;1.0;1.0;;1.0;Kabul evrakları Bekir ağabeye 9 Martta teslim edildi;Düzenleme: Halil (26.03.2026 08:27);1.500;2026-01-15;;0.0;;;;;;;2026-01-16;40 Gün;;;
2025/2214999;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;7.500 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;3;2026-03-16;5854260.0;1.0;1.0;1.0;1.0;1.0;;1.0;Test Sonuçları UYGUN;Düzenleme: Halil (26.03.2026 08:27);1.500;2026-01-15;;0.0;;;;;;;2026-01-16;60 Gün;;;
2025/2214999;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;7.500 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;4;2026-04-05;5854260.0;1.0;1.0;1.0;1.0;1.0;;1.0;İSTON ve Teknolab sonuçları UYGUN.;Düzenleme: Serdar (06.04.2026 09:17);1.500;2026-01-15;;0.0;;;;;;;2026-01-16;80 Gün;;;
2025/2214999;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;7.500 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;5;2026-04-25;5854260.0;1.0;1.0;1.0;1.0;0.0;;0.0;İSTON Raporu 12 Mayısta geldi, Sonuçlar UYGUN;Düzenleme: Halil (14.05.2026 09:42);1.500;2026-01-15;;0.0;İSTON, Teknolab;İSTON, Teknolab;;;;;2026-01-16;100 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;1;2026-03-13;10300000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Teknolab ve İSTON Raporları UYGUN;Düzenleme: Halil (06.04.2026 11:33);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;30 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;2;2026-04-12;10300000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Muayene Kabul Raporu bekleniyor, Fatura kesildi.;Düzenleme: Halil (11.05.2026 15:01);2.500;2026-02-11;;1.0;;;;;;;2026-02-12;60 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;3;2026-05-12;10300000.0;1.0;1.0;0.0;0.0;0.0;;0.0;07 Mayısta kapaklar İSTON'a gönderiliyor.;Düzenleme: Halil (07.05.2026 09:32);2.500;2026-02-11;;1.0;Teknolab;;;;;;2026-02-12;90 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;4;2026-06-11;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;120 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;5;2026-07-11;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;150 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;6;2026-08-10;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;180 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;7;2026-09-09;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;210 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;8;2026-10-09;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;240 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;9;2026-11-08;10300000.0;;;;;;;;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;270 Gün;;;
2025/2116974;Erkon Döküm İnşaat Turizm Ticaret ve Sanayi Anonim Şirketi;25.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini;10;2026-12-08;10300000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:27);2.500;2026-02-11;;0.0;;;;;;;2026-02-12;300 Gün;;;
2025/2158005;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (2. kısım);1;2026-06-17;3618960.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:03);4.000;2026-02-17;;0.0;;;;;;;2026-02-18;120 Gün;;;
2025/2158005;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (2. kısım);2;2026-07-17;3618960.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:03);4.000;2026-02-17;;0.0;;;;;;;2026-02-18;150 Gün;;;
2025/2158005;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (2. kısım);3;2026-08-16;3618960.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:03);4.000;2026-02-17;;0.0;;;;;;;2026-02-18;180 Gün;;;
2025/2158005;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (2. kısım);4;2026-09-15;2714220.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Düzenleme: Halil (25.03.2026 13:03);3.000;2026-02-17;;0.0;;;;;;;2026-02-18;210 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);1;2026-03-22;2468000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Muayene Kabul Evrakı imzadan geldi. Fatura Kesildi.;Düzenleme: Serdar (07.04.2026 08:52);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;30 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);2;2026-04-21;2468000.0;1.0;1.0;1.0;1.0;1.0;;1.0;22/04;Düzenleme: Serdar (30.04.2026 16:18);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;60 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);3;2026-05-21;2468000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:01);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;90 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);4;2026-06-20;2468000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:01);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;120 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);5;2026-07-20;2468000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:01);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;150 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);6;2026-08-19;2468000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 13:01);4.000;2026-02-20;;0.0;;;;;;;2026-02-21;180 Gün;;;
2025/2158005;Çalışkan Döküm Ticaret Limited Şirketi;Lamel Grafitli Dökme Demir Priz Buşakle ve Lamel Grafitli Dökme Demir Vana Buşakle Temini İşi (1. kısım);7;2026-09-18;3702000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Düzenleme: Halil (25.03.2026 13:01);6.000;2026-02-20;;0.0;;;;;;;2026-02-21;210 Gün;;;
26DT334236;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;Muhtelif  Çaplarda  İç  Dişli  Körtapa  Temini;1;2026-05-08;313375.0;1.0;1.0;1.0;1.0;1.0;;1.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);7.250;2026-03-10;"3/4 Ana Musluk Körtapası 5.000 adet
1.1/4"" Ana Musluk Körtapası 1.500 adet
1.1/2"" Çift Küreselli Vana Seti Körtapası 500 adet
2"" Çift Küreselli Vana Seti Körtapası 250 adet";0.0;;;;;;;2026-03-11;59 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";1;2026-04-24;1228000.0;1.0;1.0;1.0;1.0;1.0;;1.0;ÖDEME BELGESİ OLUŞTURULACAK;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;1.0;;;;;;;2026-03-26;30 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";2;2026-05-24;1228000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;0.0;;;;;;;2026-03-26;60 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";3;2026-06-23;1228000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;0.0;;;;;;;2026-03-26;90 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";4;2026-07-23;1228000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;0.0;;;;;;;2026-03-26;120 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";5;2026-08-22;1228000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;0.0;;;;;;;2026-03-26;150 Gün;;;
2026/69877;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;"120.000 Adet CW617N Pirinç Malzemeden Mamul 3/4"" Nipel Temini İşi";6;2026-09-21;1228000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (12.05.2026 11:45);20.000;2026-03-25;;0.0;;;;;;;2026-03-26;180 Gün;;;
2026/14 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;1;2026-05-22;49022000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (13.04.2026 08:58);200.000;2026-04-07;;0.0;;;;;;;2026-04-08;45 Gün;;;
2026/14 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;2;2026-07-06;49022000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (13.04.2026 08:58);200.000;2026-04-07;;0.0;;;;;;;2026-04-08;90 Gün;;;
2026/14 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;3;2026-08-20;49022000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (13.04.2026 08:58);200.000;2026-04-07;;0.0;;;;;;;2026-04-08;135 Gün;;;
2026/14 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN20 mm Eğik Kadranlı ve Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi;4;2026-10-04;49022000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (13.04.2026 08:58);200.000;2026-04-07;;0.0;;;;;;;2026-04-08;180 Gün;;;
2026/41-Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN150mm (Flanşlı) Türbinli ve Hız Ölçüm Esaslı Woltman Tip Soğuk Su Sayaçları ile Değişimi;1;2026-05-22;590220.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Düzenleme: Halil (29.04.2026 09:03);52;2026-04-22;2.000 kg kullanılmış sayaç => 52 adet yeni DN 150mm Sayaç;0.0;;;;;;;2026-04-23;30 Gün;;;
2026/42 - Trampa;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;İdare Ambarındaki Kullanılmış DN20mm Soğuk Su Sayaçlarının, Teknik Şartnameye Uygun Yeni DN50mm (Rakorlu) Hız Esaslı R100 Soğuk Su Sayaçları ile Değişimi İşi;1;2026-05-22;1475550.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Düzenleme: Halil (29.04.2026 09:05);270;2026-04-22;5.000 kg kullanılmış sayaç => 270 adet yeni DN 50mm Sayaç;0.0;;;;;;;2026-04-23;30 Gün;;;
2022/000783;Isı Ticaret- Özkan BOZKIR;Perlatörlü Osmanlı musluğu temini;;2023-1-18;91295.0;;;;;1.0;;1.0;;;500;2023-01-04 00:00:00;"Perlatörlü Osmanlı  Musluğu;
 1/2"":  450 Ad.
3/4"":  50 Ad.";0.0;;;Mal Alımı;"Doğrudan Temin
22/D";130850;2022-12-20 00:00:00;2023-01-04 00:00:00;15 Gün;16912;32525;9652
2022/1024505;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçaları, Manşon Tip Bağlantı Parçaları, Sayaç Rakorları, Valfler, Körtapa Temini İşi;;2023-9-18;61968700.0;;;;;1.0;;1.0;;;389000;2022-12-23 00:00:00;"3/4” Bağlantı Parçası: 200.000 ad.
1.1/4"" Manson Tip Bağlantı Parçası: 35.000 ad.
DN20 Sayaç Rekoru: 50.000 ad.
3/4"" Valf : 100.000 ad. 
1. 1/4"" Körtapa: 4.000 ad.";0.0;;;Mal Alımı;Açık İhale;78272940;2022-11-14 00:00:00;2022-12-23 00:00:00;270 Gün;16954;32565;9694
